Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs,label
3,1,24,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
50,1,149,2,0.0,0,0,0,0.0,0.0,0,0,8,2,1,16,19,10,10,11,20,1.0,0.27026999999999995,20,19,9,0,0.215054,20,0,0,0,0,0,54,77,0,0,0,0,9,0,8,0,9,28,0,8,0,73,100,5,0,5,0,11,0,9,0,11,37,0,9,0,0,1,16,0,5,0,1,2,0,0,0,1,0,0,0,1,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
35,1,88,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,9,7,2,2,7,11,0.333333,0.163636,9,9,1,2,0.163636,9,0,0,0,0,0,46,54,12,0,12,0,4,0,2,1,4,25,0,2,1,46,54,12,0,12,0,4,0,2,1,4,25,0,2,1,0,0,13,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
59,1,400,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,23,4,15,12,2,24,0.0909091,0.311594,43,43,2,20,0.357798,117,0,0,0,0,0,95,137,14,11,14,11,22,0,21,0,22,35,0,21,0,210,342,28,11,28,11,43,0,42,0,43,95,0,42,0,0,0,75,0,28,0,0,6,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,13,0,0,0,0,0,1,1
39,1,440,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,47,17,10,10,40,65,1.0,0.5189189999999999,192,192,24,0,0.5189189999999999,192,0,0,0,0,0,178,402,13,4,13,4,25,1,23,0,25,91,1,23,0,178,402,13,4,13,4,25,1,23,0,25,91,1,23,0,0,1,17,0,16,0,0,6,0,0,0,0,0,1,3,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1
50,1,561,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,11,7,1,5,7,1.0,0.375,33,33,2,0,0.427957,199,0,0,0,0,0,55,93,24,0,24,0,2,0,1,0,2,25,0,1,0,266,512,57,0,57,0,24,3,22,0,24,131,3,22,0,0,0,28,0,67,0,0,8,0,0,0,1,0,0,24,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,16,0,0,0,0,0,1,1
40,1,195,2,0.0,0,0,0,0.0,0.0,0,0,4,1,1,24,4,5,15,1,18,1.0,0.320313,41,41,1,0,0.297101,41,0,0,0,0,0,87,146,9,3,9,3,17,0,0,0,17,35,0,0,0,97,156,9,3,9,3,18,0,1,0,18,40,0,1,0,0,0,30,0,16,0,0,0,0,0,0,1,0,0,15,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
36,1,55,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,4,1,0,1,0.5,0.333333,9,9,1,1,0.333333,9,0,0,0,0,0,18,20,7,0,7,0,1,0,1,0,1,7,0,1,0,18,20,7,0,7,0,1,0,1,0,1,7,0,1,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
45,1,422,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,81,21,5,2,35,55,0.333333,0.0778443,26,20,1,2,0.0751445,26,0,0,0,0,0,308,366,37,3,37,3,20,0,2,0,20,193,0,2,0,320,378,37,3,37,3,22,0,4,0,22,198,0,4,0,0,0,63,1,41,0,0,28,0,0,0,0,0,5,5,3,0,7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,2,1
32,1,55,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,8,2,1,4,6,0.333333,0.259259,7,7,1,2,0.259259,7,0,0,0,0,0,20,24,5,0,5,0,2,0,2,0,2,9,0,2,0,20,24,5,0,5,0,2,0,2,0,2,9,0,2,0,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
