wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs,label
3,1,0,3,19,0,0,3,2,0.75,104,0.5,0,0,0.666667,0,0,33,1,0.6667,0,0
3,5,0,6,14,3,5,2,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0,0
10,1,0,15,39,19,4,12,8,0.888889,344,0.25,1,0,0.228571,0,0,32.6,3,1.1,0,0
24,3,0,17,118,72,2,15,17,0.851449,1066,0.916667,1,0.616667,0.185185,3,4,42.916667,6,1.7083,2,1
12,1,0,3,22,44,1,2,5,0.805195,156,1,1,0,0.261905,0,0,11.416667,4,1.25,0,0
19,3,0,10,61,135,0,10,16,0.888889,504,1,0,0.672727,0.378947,1,1,24.789474,13,1.9474,0,0
2,3,0,3,7,1,1,3,2,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0,0
3,2,0,4,6,0,1,3,3,0,30,1,0,0.818182,0.666667,0,0,8.666667,2,1,0,0
23,4,2,22,77,149,2,20,16,0.826705,1164,1,4,0.777778,0.142857,3,7,48.913043,19,2.3043,0,0
12,3,0,11,38,2,2,10,8,0.409091,224,1,0,0.731707,0.197917,2,3,17.5,4,1.8333,2,1
7,1,0,2,8,0,2,0,1,0.5,1082,0,0,0,0.666667,0,0,153.285714,2,0.8571,0,0
20,4,0,13,97,116,1,13,16,0.868421,895,1,0,0.7625,0.19,4,4,42.85,1,0.95,2,1
9,1,0,8,23,0,5,3,8,0.5,148,1,1,0,0.288889,0,0,14.888889,4,1.3333,0,0
3,2,0,5,7,1,1,4,3,0.5,29,1,0,0.818182,0.666667,0,0,8.333333,1,0.6667,0,0
30,1,0,31,65,303,29,4,26,0.689655,634,1,0,0,0.17734,0,0,20.033333,18,2.2333,1,1
3,6,0,7,11,3,5,3,3,2,37,0,0,0.969697,1,2,3,11.333333,2,1.3333,0,0
30,3,0,15,109,395,4,13,13,0.869732,929,0.555556,4,0.517241,0.211207,1,1,29.666667,8,1.9667,0,0
8,5,0,9,29,0,1,8,5,0.571429,187,1,0,0.823529,0.375,2,5,22,4,1.125,0,0
9,2,0,17,73,14,7,16,4,0.725,432,1,5,0.708333,0.275,1,1,46.444444,1,0.7778,1,1
23,3,0,15,88,201,0,15,19,0.847107,541,1,1,0.627119,0.144928,2,2,22.043478,13,2.1304,0,0
1,1,0,16,1,0,15,1,1,2,1,0,0,0,1,0,0,0,1,1,0,0
30,3,0,51,102,301,40,13,24,0.603448,1238,0.5,1,0.526316,0.121839,2,6,40.2,15,2.6333,0,0
8,5,0,6,26,0,1,5,5,0.571429,172,1,0,0.823529,0.375,2,5,20.125,4,1.125,0,0
3,3,0,3,10,0,0,3,3,0,32,1,0,0.948718,0.666667,0,0,9.333333,1,0.6667,0,0
6,1,0,1,8,0,0,1,6,0,43,1,1,0,0.666667,0,0,6,1,0.8333,0,0
3,2,0,9,28,3,1,8,2,2,155,0,0,0.92,1,1,1,50.666667,11,4,1,1
13,5,0,11,34,68,5,7,12,0.75,199,1,0,0.837838,0.292308,2,8,14.153846,5,2.1538,0,0
8,5,0,10,23,0,5,5,8,0.761905,198,0.5,0,0.844444,0.35,1,4,23,6,2.25,0,0
6,5,0,9,22,0,4,5,6,0.6,105,0.5,0,0.883721,0.333333,2,5,16.166667,4,1.6667,0,0
3,4,0,4,21,3,0,4,1,1.5,144,1,0,0.960784,1,2,3,46.666667,9,3.3333,0,0
5,3,0,5,15,4,0,5,5,0.75,90,1,0,0.902439,0.533333,0,0,16.4,1,0.8,0,0
3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.666667,0,0,0,1,1,0,0
