CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,loc,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,bugs,label
0,3,30,1,0,1,1,1,1,3,0,0,1,1,21,1,1,1,4,0,0,1,1,2,1,1,4,7,1,3,2,5,1,3,0,1,1,100,3,0,0,1,2,2,2,2,2,2,1,1,1,3,0.75,0,0,0
0,1,34,1,1,1,0,1,1,6,0,5,1,1,25,1,1,1,4,0,0,1,0,0,1,1,4,5,0,5,4,4,1,3,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
0,1,37,1,1,1,0,1,1,1,0,0,1,1,19,1,1,1,13,0,0,1,0,0,1,1,9,14,0,1.36,4,9,1,8,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,31,1,1,1,0,1,1,6,0,5,1,1,24,1,1,1,3,0,0,1,0,0,1,1,3,4,0,6,3,3,1,2,0,1,1,0,0,4,0,0,2,2,2,1,1,1,1,1,1,0,0,0,0,0
0,1,38,1,3,1,0,3,1,1,0,0,1,3,16,1,3,3,15,0,0,1,0,0,3,3,11,16,0,1,6,11,1,10,0,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,33,1,1,1,0,1,1,1,0,0,1,1,16,1,1,1,13,0,0,1,0,0,1,1,9,13,0,1.23,4,9,1,8,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,37,1,1,1,0,1,1,1,0,0,1,1,19,1,1,1,13,0,0,1,0,0,1,1,9,14,0,1.36,4,9,1,8,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,37,1,1,1,0,1,1,1,0,0,1,1,19,1,1,1,13,0,0,1,0,0,1,1,9,14,0,1.36,4,9,1,8,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,1,52,1,7,1,0,7,1,2,0,1,1,7,27,1,7,7,13,0,2,1,0,2,7,7,13,14,0,1.93,11,13,1,12,0,7,1,100,2,1,0,1,6,2.714285714,1,1,1,1,1,1,1,0,0,0,0,0
0,1,47,1,7,1,0,7,1,1,0,0,1,7,19,1,7,7,18,0,0,1,0,0,7,7,10,18,0,1.06,10,10,1,9,0,7,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,1,173,1,37,1,0,37,1,1,0,0,1,37,51,1,37,37,81,0,0,1,0,0,37,37,44,81,0,0.63,41,44,1,43,0,37,1,0,2,1,2,1,0,0,0,1,0.621621622,0,1,1,1,0,0,0,0,0
0,1,31,1,3,1,0,3,1,1,0,0,1,3,16,1,3,3,9,0,0,1,0,0,3,3,6,9,0,1.78,6,6,1,5,0,3,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,1,47,1,8,1,0,8,1,1,0,0,1,8,16,1,8,8,20,0,0,1,0,0,8,8,12,20,0,0.8,11,12,1,11,0,8,1,0,1,1,2,1,0,0,0,1,0.75,0,1,1,1,0,0,0,0,0
0,1,28,1,2,1,0,2,1,1,0,0,1,2,16,1,2,2,7,0,0,1,0,0,2,2,5,7,0,2.29,5,5,1,4,0,2,1,0,1,2,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,1,34,1,3,1,0,3,1,1,0,0,1,3,16,1,3,3,11,0,0,1,0,0,3,3,8,11,0,1.45,7,8,1,7,0,3,1,0,0,2,2,0,0,0,0,1,0.666666667,0,1,1,1,0,0,0,0,0
0,1,29,1,2,1,0,2,1,1,0,0,1,2,16,1,2,2,8,0,0,1,0,0,2,2,6,8,0,2,5,6,1,5,0,2,1,0,3,1,2,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0
0,1,34,1,4,1,0,4,1,1,0,0,1,4,16,1,4,4,11,0,0,1,0,0,4,4,7,11,0,1.45,7,7,1,6,0,4,1,0,0,2,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,1,35,1,4,1,0,4,1,1,0,0,1,4,16,1,4,4,12,0,0,1,0,0,4,4,8,12,0,1.33,7,8,1,7,0,4,1,0,1,1,2,1,0,0,0,1,0.75,0,1,1,1,0,0,0,0,0
0,1,136,1,38,1,0,38,1,1,0,0,1,38,16,1,38,38,79,0,0,1,0,0,38,38,41,79,0,0.2,41,41,1,40,0,38,1,0,0,1,1,0,0,0,0,1,0.578947368,0,1,1,1,0,0,0,0,0
0,1,30,1,2,1,0,2,1,1,0,0,1,2,16,1,2,2,8,0,0,1,0,0,2,2,6,9,0,1.78,5,6,1,5,0,2,1,0,3,1,2,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0
0,1,91,1,22,1,0,22,1,1,0,0,1,22,16,1,22,22,49,0,0,1,0,0,22,22,27,49,0,0.33,26,27,1,26,0,22,1,0,1,4,2,1,2,0.136363636,0,1,0.954545455,0,1,1,1,0,0,0,0,0
0,1,44,1,7,1,0,7,1,1,0,0,1,7,16,1,7,7,18,0,0,1,0,0,7,7,11,18,0,0.89,10,11,1,10,0,7,1,0,2,6,2,1,2,0.857142857,0,1,0.714285714,0,1,1,1,0,0,0,0,0
0,1,47,1,8,1,0,8,1,1,0,0,1,8,16,1,8,8,20,0,0,1,0,0,8,8,12,20,0,0.8,11,12,1,11,0,8,1,0,1,1,2,1,0,0,0,1,0.75,0,1,1,1,0,0,0,0,0
0,1,28,1,2,1,0,2,1,1,0,0,1,2,16,1,2,2,7,0,0,1,0,0,2,2,5,7,0,2.29,5,5,1,4,0,2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,1,33,1,3,1,0,3,1,1,0,0,1,3,16,1,3,3,10,0,0,1,0,0,3,3,7,11,0,1.45,6,7,1,6,0,3,1,0,0,1,2,0,0,0,0,1,0.333333333,0,1,1,1,0,0,0,0,0
0,1,97,1,22,1,0,22,1,1,0,0,1,22,22,1,22,22,50,0,0,1,0,0,22,22,26,50,0,0.44,25,26,1,25,0,22,1,0,2,2,2,1,1,0.181818182,0,1,0.681818182,0,1,1,1,0,0,0,0,0
0,1,46,1,8,1,0,8,1,1,0,0,1,8,16,1,8,8,19,0,0,1,0,0,8,8,11,19,0,0.84,11,11,1,10,0,8,1,0,2,1,1,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0
0,1,31,1,3,1,0,3,1,1,0,0,1,3,16,1,3,3,9,0,0,1,0,0,3,3,6,9,0,1.78,6,6,1,5,0,3,1,0,3,1,1,1,0,0,0,1,0.666666667,0,1,1,1,0,0,0,0,0
0,1,50,1,9,1,0,9,1,1,0,0,1,9,16,1,9,9,22,0,0,1,0,0,9,9,13,22,0,0.73,12,13,1,12,0,9,1,0,0,8,2,0,0,0,0,1,0.555555556,0,1,1,1,0,0,0,0,0
0,1,31,1,3,1,0,3,1,1,0,0,1,3,16,1,3,3,9,0,0,1,0,0,3,3,6,9,0,1.78,6,6,1,5,0,3,1,0,3,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,1,83,1,20,1,0,20,1,1,0,0,1,20,16,1,20,20,45,0,0,1,0,0,20,20,24,45,0,0.36,22,24,1,23,0,20,1,0,0,1,2,0,0,0,0,1,0.8,0,1,1,1,0,0,0,0,0
0,1,34,1,4,1,0,4,1,1,0,0,1,4,16,1,4,4,11,0,0,1,0,0,4,4,7,11,0,1.45,7,7,1,6,0,4,1,0,3,1,1,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0
0,1,46,1,8,1,0,8,1,1,0,0,1,8,16,1,8,8,19,0,0,1,0,0,8,8,11,19,0,0.84,11,11,1,10,0,8,1,0,1,1,1,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0
0,1,38,1,5,1,0,5,1,1,0,0,1,5,16,1,5,5,14,0,0,1,0,0,5,5,9,14,0,1.14,8,9,1,8,0,5,1,0,3,1,2,1,0,0,0,1,0.8,0,1,1,1,0,0,0,0,0
0,1,95,1,23,1,0,23,1,1,0,0,1,23,16,1,23,23,51,0,0,1,0,0,23,23,28,52,0,0.31,27,28,1,27,0,23,1,0,0,1,2,0,0,0,0,1,0.565217391,0,1,1,1,0,0,0,1,1
0,1,187,1,55,1,0,55,1,1,0,0,1,55,16,1,55,55,113,0,0,1,0,0,55,55,58,113,0,0.14,58,58,1,57,0,55,1,0,0,1,1,0,0,0,0,1,0.509090909,0,1,1,1,0,0,0,0,0
0,1,48,1,7,1,0,7,1,1,0,0,1,7,19,1,7,7,18,0,0,1,0,0,7,7,11,19,0,1,10,11,1,10,0,7,1,0,1,1,2,1,0,0,0,1,0.714285714,0,1,1,1,0,0,0,0,0
0,1,32,1,1,1,0,1,1,6,0,5,1,1,24,1,1,1,4,0,0,1,0,0,1,1,4,5,0,4.8,3,4,1,3,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
0,1,30,1,1,1,0,1,1,6,0,5,1,1,24,1,1,1,3,0,0,1,0,0,1,1,3,4,0,6,2,3,1,2,0,1,1,0,0,2,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
0,1,61,1,4,1,0,4,1,7,0,6,1,4,46,1,4,4,7,0,0,1,0,0,4,4,7,8,0,5.75,7,7,1,6,0,4,1,0,0,3,1,0,4,3,2,1,0.25,0,1,1,1,0,0,0,0,0
0,1,43,1,1,1,0,1,1,10,0,9,1,1,36,1,1,1,3,0,0,1,0,0,1,1,3,4,0,9,3,3,1,2,0,1,1,0,0,52,0,0,123,123,123,0,0,0,1,1,1,0,0,0,0,0
0,1,50,1,1,1,0,1,1,14,0,13,1,1,44,1,1,1,3,0,0,1,0,0,1,1,3,4,0,11,2,3,1,2,0,1,1,0,1,33,2,1,23,23,23,1,1,1,1,1,1,0,0,0,0,0
0,1,40,1,1,1,0,1,1,11,0,10,1,1,34,1,1,1,4,0,0,1,0,0,1,1,3,4,0,8.5,2,3,1,2,0,1,1,0,0,2,5,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,0,34,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,10,0,0,0,0,0,0,0,7,11,0,1.91,2,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,64,1,3,1,0,3,1,11,0,10,1,3,52,1,3,3,6,0,0,1,0,0,3,3,6,7,0,7.43,5,6,1,5,0,3,1,0,2,1,0,1,0,0,0,1,0.666666667,0,1,1,1,0,0,0,0,0
0,1,64,1,4,1,0,4,1,7,0,6,1,4,51,1,4,4,6,0,0,1,0,0,4,4,6,7,0,7.29,6,6,1,5,0,4,1,0,1,1,2,1,1,0.25,0,1,1,1,1,1,1,0,0,0,0,0
0,0,34,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,10,0,0,0,0,0,0,0,7,11,0,1.91,2,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,172,4,0,1,0,27,3,14,0,4,3,9,60,1,9,25,29,0,8,4,9,60,25,9,29,98,51,0.61,14,80,4,54,0,9,3,38,3,0,5,1,23,8.888888889,2,8,5.222222222,3,4,2.888888889,1,4,1,0,0,0
0,3,185,2,0,1,0,15,1,9,0,6,1,13,105,1,13,15,24,0,2,2,13,23,15,13,26,62,22,1.69,18,48,2,30,0,13,1,61,3,73,9,1,16,5,0,5,3,1,2,1.153846154,1,1,0.2,0,0,0
0,1,31,1,1,1,0,1,1,6,0,5,1,1,24,1,1,1,3,0,0,1,0,0,1,1,3,4,0,6,3,3,1,2,0,1,1,0,0,6,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
10,10,424,7,2,1,1,74,2,11,20,0,2,41,52,12,41,70,123,0,5,11,29,168,70,46,114,313,96,0.17,59,210,7,137,0,21,2,100,1,3,9,2,19,4.731707317,0,11,3.707317073,0,10,2.097560976,1,4,0.851851852,0,0,0
0,3,85,2,0,1,0,10,1,4,0,0,1,9,25,1,9,10,22,3,2,2,6,15,10,9,21,43,12,0.58,17,33,2,24,0,9,1,55,1,12,3,2,4,1.888888889,1,4,2,1,2,1.111111111,1,1,0.272727273,0,0,0
1,4,236,2,0,1,0,23,1,8,21,4,1,22,118,1,22,23,43,0,0,2,21,43,23,22,43,93,25,1.27,25,68,2,44,0,1,1,0,1,0,3,1,14,4.136363636,0,4,2.909090909,1,2,1.045454545,1,1,0.111111111,0,0,0
0,3,494,2,0,1,0,52,1,8,0,4,1,46,242,1,46,52,83,3,2,2,43,74,52,46,79,200,62,1.21,52,141,2,87,0,46,1,93,1,1,19,2,445,26.30434783,0,5,2.326086957,1,2,1.130434783,1,1,0.153846154,0,0,0
1,4,705,3,0,1,0,78,1,7,0,2,1,74,248,2,76,77,177,0,4,3,75,174,78,76,156,377,120,0.66,80,276,2,199,0,76,1,100,3,0,32,1,76,2.947368421,0,8,3.434210526,1,3,1,0,1,0.0375,0,0,0
0,4,109,3,0,1,0,14,1,4,0,0,1,11,28,1,11,14,31,3,0,3,8,23,14,11,27,66,19,0.42,15,46,3,31,0,11,1,0,3,0,12,1,4,1.545454545,0,14,3.272727273,1,3,1.272727273,1,2,0.538461538,0,0,0
0,4,485,9,0,1,0,75,1,6,0,1,1,59,119,1,59,74,100,4,12,9,55,131,74,59,96,298,122,0.4,68,218,9,143,0,59,1,94,2,2,15,1,39,3.813559322,0,13,2.610169492,1,256,5.457627119,1,3,0.213114754,0,0,0
0,1,93,1,8,1,0,8,1,6,0,5,1,8,65,1,8,8,16,0,0,1,0,0,8,8,16,17,0,3.82,11,16,1,15,0,8,1,0,1,1,4,1,3,1.25,0,1,0.5,0,1,1,1,0,0,0,0,0
1,7,185,7,0,1,1,26,2,10,3,2,2,12,52,1,12,25,42,2,3,8,9,55,25,12,39,111,42,0.47,22,81,7,54,0,9,2,77,2,0,9,1,22,4.75,1,13,3.916666667,1,21,3.25,1,3,1.142857143,0,0,0
0,5,97,4,0,1,0,14,2,6,0,0,2,8,25,1,8,14,26,1,2,4,7,24,14,8,27,60,19,0.42,12,46,4,30,0,8,2,50,1,5,6,2,8,4.5,1,4,2.125,1,4,1.875,1,3,1.1,0,0,0
0,5,110,4,0,1,0,10,1,9,1,4,1,7,47,1,7,10,23,0,5,4,7,22,10,7,24,52,18,0.9,11,42,4,30,0,6,1,71,1,0,5,1,7,3.428571429,2,11,3.285714286,2,8,2,1,1,0.333333333,0,0,0
1,7,1785,9,1,1,0,310,1,9,85,1,1,240,393,79,240,304,207,0,4,11,238,759,304,251,347,1204,376,0.33,188,723,9,421,0,155,1,50,3,2,11,2,44,1.808333333,0,13,2.070833333,1,20,1.345833333,1,3,0.257668712,0,0,0
0,3,856,1,0,1,0,77,1,9,1,6,1,77,526,1,77,77,90,2,1,1,75,79,77,77,86,246,78,2.14,84,164,1,86,0,76,1,6,4,0,3,1,13,2.87012987,1,3,2,1,1,1,1,0,0,0,0,0
0,4,946,3,0,1,0,81,1,10,0,6,1,77,505,1,77,81,129,2,3,3,75,159,81,77,129,350,137,1.44,91,266,3,184,0,77,1,89,1,1,28,1,216,10.07792208,0,7,3.272727273,0,3,1.051948052,1,2,0.1,0,0,0
0,4,126,2,0,1,0,17,1,4,0,0,1,16,22,1,16,17,34,1,2,2,15,38,17,16,32,82,31,0.27,22,63,2,46,0,16,1,53,2,0,6,1,5,3,0,15,2.625,1,1,1,1,0,0,0,0,0
0,3,47,1,0,1,0,3,1,3,0,0,1,3,25,1,3,3,9,0,0,1,3,5,3,3,8,17,4,1.47,5,12,1,8,0,3,1,0,2,0,2,1,1,0.333333333,0,2,1.333333333,1,1,1,1,0,0,0,0,0
17,7,1614,10,7,1,1,268,1,10,0,2,1,174,417,26,176,259,159,2,32,10,150,616,259,195,280,995,370,0.42,202,650,10,381,0,176,2,100,3,19,14,2,100,4.613636364,0,9,2.193181818,0,24,1.630681818,0,3,0.428571429,0,2,1
