CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,loc,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,bugs,label
43,9,1236,11,0,1,36,99,2,14,1,3,2,59,394,3,59,94,301,0,13,15,16,359,94,73,257,653,176,0.6,190,433,11,336,1,58,2,97,2,0,2,1,8,3.694915254,1,16,4.016949153,0,18,1.86440678,1,8,0.65625,0,0,0
0,45,740,42,0,5,1,134,10,56,1,4,10,11,91,1,11,109,98,8,27,59,3,334,109,59,106,546,238,0.17,104,344,42,236,6,10,12,80,1,0,3,1,24,7.363636364,2,23,10.90909091,2,197416,18111.27273,1,7,3.538461538,0,0,0
3,51,315,17,0,1,0,34,8,56,1,3,8,4,70,1,4,33,54,0,4,18,1,142,33,4,58,228,88,0.31,25,146,17,115,3,3,9,43,1,0,1,1,7,5,4,26,13,4,3120,807.75,1,6,4.166666667,0,0,0
2,13,186,3,0,1,12,5,2,18,1,2,2,3,78,1,3,5,36,0,3,3,1,67,5,3,34,86,23,0.91,24,57,3,51,3,2,2,57,1,0,2,1,16,9.333333333,3,9,6,4,3,1.666666667,1,1,0.666666667,0,0,0
0,4,137,4,0,1,0,15,1,8,1,4,1,11,61,1,11,15,21,0,2,4,11,25,15,11,22,57,20,1.07,19,42,4,26,0,10,1,86,1,0,0,2,3,0.727272727,0,4,1.454545455,1,4,1.363636364,1,2,0.642857143,0,0,0
0,4,136,4,0,1,0,15,1,8,1,4,1,11,60,1,11,15,21,0,2,4,11,24,15,11,22,56,20,1.07,20,42,4,26,0,10,1,95,1,0,0,2,2,0.454545455,0,4,1.272727273,1,4,1.363636364,1,2,0.538461538,0,0,0
0,4,138,4,0,1,0,15,1,8,1,4,1,11,60,1,11,15,21,0,2,4,11,25,15,11,22,57,20,1.05,21,42,4,26,0,10,1,86,1,0,0,2,3,0.727272727,0,4,1.454545455,1,4,1.363636364,1,2,0.538461538,0,0,0
0,4,139,4,0,1,0,15,1,8,1,4,1,11,61,1,11,15,21,0,2,4,11,25,15,11,22,57,20,1.07,21,42,4,26,0,10,1,86,1,0,0,2,3,0.727272727,0,4,1.454545455,1,4,1.363636364,1,2,0.538461538,0,0,0
0,4,137,4,0,1,0,15,1,8,1,4,1,11,60,1,11,15,21,0,2,4,11,25,15,11,22,57,20,1.05,20,42,4,26,0,10,1,86,1,0,0,2,3,0.727272727,0,4,1.454545455,1,4,1.363636364,1,2,0.538461538,0,0,0
1,10,114,3,0,1,5,8,2,10,4,0,2,4,32,1,4,8,33,0,0,3,3,39,8,4,30,68,16,0.47,16,46,3,38,0,0,2,70,1,0,0,1,6,3.75,2,5,3.5,2,3,2,1,2,1.166666667,0,1,1
