Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs,label
22,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.6,3,3,1,0,0.6,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,99,2,0.0,0,0,0,0.0,0.0,0,0,1,5,2,19,0,2,3,0,4,0.666667,0.25,16,16,2,1,0.25,16,0,0,0,0,0,48,71,0,0,0,0,4,0,2,0,4,35,0,2,0,48,71,0,0,0,0,4,0,2,0,4,35,0,2,0,0,0,10,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
46,1,377,2,0.22255,4,22,6,0.17771099999999998,0.197802,59,54,3,2,2,38,3,1,0,5,15,0.2,0.0425532,8,6,1,4,0.028469799999999996,8,0,0,0,0,0,180,225,15,0,15,0,10,0,4,0,10,101,0,4,0,273,332,21,0,21,0,21,0,9,0,21,145,0,9,0,0,1,85,0,14,0,0,0,0,31,0,1,0,0,0,0,0,10,51,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
29,1,60,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,24,32,0,0,0,0,1,0,1,0,1,16,0,1,0,24,32,0,0,0,0,1,0,1,0,1,16,0,1,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1,85,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,4,0,0,1,2,0.5,0.214286,3,3,1,1,0.0566038,3,1,1,0,0,1,11,13,0,0,0,0,1,0,1,0,5,4,0,1,0,50,58,0,0,0,0,6,0,3,0,10,22,0,3,0,0,0,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
54,1,176,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,15,7,89,213,9,17,0.75,0.446154,58,58,6,2,0.446154,58,0,0,0,0,0,72,123,1,2,1,2,8,0,7,0,8,37,0,7,0,72,123,1,2,1,2,8,0,7,0,8,37,0,7,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1
31,1,48,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.2,4,3,1,1,0.2,4,0,0,0,0,0,16,18,0,0,0,0,1,0,1,1,1,7,0,1,1,16,18,0,0,0,0,1,0,1,1,1,7,0,1,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,131,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,12,1,0,20,22,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,56,80,2,0,2,0,2,0,1,0,2,43,0,1,0,75,105,4,1,4,1,7,0,6,1,15,49,0,14,1,0,1,26,1,15,0,0,2,0,0,0,1,0,0,0,2,0,7,23,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
30,1,154,2,0.48855,1,3,3,0.48,0.48484799999999995,60,48,2,0,0,7,19,0,0,20,27,0.0,0.0,0,0,0,8,0.0,0,1,1,0,0,1,63,83,3,1,1,0,7,0,7,0,51,31,1,48,0,99,125,3,1,1,0,16,0,16,0,68,39,1,65,0,0,1,132,5,11,0,0,0,0,71,0,4,0,0,1,1,0,5,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,0,0,0,0
41,1,352,2,0.711174,9,82,28,0.6153850000000001,0.617284,192,150,4,2,2,27,18,0,0,34,41,0.0,0.0130435,3,0,0,8,0.0121951,3,1,1,0,0,1,227,292,2,1,0,0,7,0,7,0,51,188,1,48,0,243,312,3,1,1,0,11,0,10,0,55,190,1,51,0,0,0,83,15,58,0,5,10,0,43,0,2,0,0,0,7,0,2,28,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,1,0,0,0
30,1,88,2,0.955882,1,3,3,0.8644069999999999,0.913043,51,42,3,0,0,3,2,0,0,4,7,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,46,59,0,0,0,0,3,0,3,0,3,33,0,3,0,46,59,0,0,0,0,3,0,3,0,3,33,0,3,0,0,0,36,0,12,0,0,0,0,26,0,1,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
44,1,113,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,11,0,0,16,19,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,44,53,2,1,0,0,3,0,3,0,47,26,1,44,0,61,70,2,1,0,0,7,0,7,0,59,32,1,56,0,0,0,34,5,4,0,0,0,0,0,0,1,0,0,0,2,0,0,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0
78,1,720,2,0.05854580000000001,1,4,2,0.052877099999999996,0.06289310000000001,34,30,18,2,2,28,30,2,0,67,89,0.181818,0.046012300000000006,15,12,4,18,0.0304878,15,1,1,0,0,1,311,432,2,1,0,0,22,0,21,0,66,233,1,62,0,477,643,11,9,4,2,61,1,58,0,142,281,2,134,4,0,1,228,34,59,0,1,0,0,36,0,5,0,0,5,4,0,15,167,1,0,0,1,0,37,0,2,0,0,0,0,0,0,7,0,0,15,1,8,7,11,0,0,0
55,1,387,2,0.114754,2,8,4,0.09909910000000001,0.09803919999999999,33,25,10,2,2,23,21,0,0,35,49,0.0,0.025380700000000003,5,0,0,14,0.0192308,5,1,1,0,0,1,192,261,2,1,0,0,14,0,13,0,58,126,1,54,0,255,333,2,1,0,0,29,0,28,0,73,141,1,69,0,0,4,119,8,34,0,4,0,0,17,0,4,0,0,0,3,0,2,91,4,0,0,0,0,27,0,0,0,0,0,0,0,0,7,0,0,4,0,0,5,1,0,0,0
