CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,loc,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,bugs,label
0,3,49,1,0,1,0,5,1,3,0,0,1,5,18,1,5,5,12,0,1,1,5,5,5,5,12,23,5,0.78,8,17,1,11,0,5,1,40,2,0,1,1,1,0.8,0,3,1.8,1,1,1,1,6,0.75,0,0,0
0,6,87,8,0,1,0,15,2,7,0,0,2,7,17,1,7,14,22,0,3,9,7,28,14,10,27,59,28,0.29,11,55,8,36,0,7,2,57,1,0,0,1,3,2,1,8,2.428571429,1,36,6,1,2,0.666666667,0,0,0
0,3,61,1,0,1,0,9,1,3,0,0,1,9,17,1,9,9,15,0,4,1,9,9,9,9,15,34,9,0.5,10,24,1,14,0,9,1,72,1,0,0,1,3,1.333333333,1,2,1.111111111,1,1,1,1,0,0,0,0,0
1,21,260,18,3,2,5,43,5,26,3,2,5,8,38,1,8,38,68,1,2,21,3,126,38,15,73,187,77,0.2,36,150,18,104,3,5,5,78,1,0,4,1,5,4,1,25,6.875,1,1282,163.5,1,6,2.5,0,0,0
0,3,47,1,0,1,0,5,1,3,0,0,1,5,17,1,5,5,12,0,1,1,5,5,5,5,12,23,5,0.74,7,17,1,11,0,5,1,40,2,0,1,1,2,1,0,3,1.8,1,1,1,1,0,0,0,0,0
0,1,45,1,2,1,0,2,1,5,0,4,1,2,35,1,2,2,6,0,0,1,0,0,2,2,5,7,0,5,3,5,1,4,0,2,1,0,0,33,0,0,63,33.5,4,1,0.5,0,1,1,1,8,1.6,0,0,0
2,10,439,12,1,1,2,58,3,18,0,7,3,17,199,2,17,51,74,0,6,16,14,118,51,25,62,216,74,0.92,24,136,12,95,0,17,3,79,1,0,14,2,17,6.823529412,0,9,3.764705882,0,12,3.117647059,1,3,1.095238095,0,0,0
2,9,612,6,13,1,2,82,2,14,26,5,2,38,232,9,38,69,153,0,4,8,23,176,69,51,114,340,123,0.68,40,237,6,163,0,12,2,100,2,5,17,2,16,5.105263158,1,14,3.947368421,0,20,2.131578947,1,3,0.612244898,0,0,0
0,5,142,6,0,1,0,15,2,9,0,3,2,9,65,1,9,15,23,5,3,6,4,31,15,13,21,66,24,0.98,11,45,6,30,0,9,2,66,2,17,2,1,18,3.444444444,0,10,2.444444444,0,6,1.666666667,1,4,1.181818182,0,2,1
0,12,77,3,0,2,0,7,2,17,0,4,2,4,32,2,4,7,11,0,1,3,4,19,7,6,12,37,12,0.86,8,24,3,16,1,4,2,33,1,1,3,2,3,1,0,3,1.75,0,3,1.75,1,7,1.75,0,0,0
