CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,loc,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,bugs,label
0,7,89,6,0,1,0,10,2,12,0,4,2,4,41,1,4,9,17,0,0,7,4,16,9,4,16,38,12,1.08,10,28,6,17,0,4,3,0,2,0,0,1,2,1.25,1,11,4,1,7,2.5,1,4,2.285714286,0,0,0
0,5,94,5,0,1,0,9,2,7,0,1,2,5,39,1,5,9,19,0,2,5,5,14,9,5,18,41,11,0.95,14,29,5,20,0,5,2,40,2,0,0,1,3,1.6,1,7,2.2,1,8,2.4,1,1,0.428571429,0,0,0
1,7,395,32,0,1,0,77,2,8,1,0,2,34,28,4,34,70,90,0,15,37,33,143,70,34,94,287,116,0.1,80,210,32,136,0,33,2,90,2,1,3,2,21,1.823529412,1,28,2.558823529,1,2067072,60797.35294,1,4,0.487179487,0,1,1
0,0,28,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,0,2,4,0,5.5,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0,0
0,4,127,2,0,1,0,12,1,5,0,0,1,8,29,3,8,11,53,0,3,3,8,19,11,8,32,82,14,0.35,16,46,2,32,0,8,2,71,2,0,7,2,4,2,0,5,1.75,1,2,1.375,1,1,0.416666667,0,0,0
5,24,809,22,2,2,4,132,5,31,5,3,5,24,112,6,24,118,177,0,4,25,17,415,118,46,187,608,270,0.18,94,457,22,333,2,19,6,88,1,0,27,2,17,4.541666667,1,64,9.833333333,1,3569,163.1666667,1,7,1.84375,0,1,1
0,5,146,3,0,1,0,14,1,5,0,0,1,10,47,1,10,14,38,0,11,3,10,28,14,12,38,78,23,0.6,22,61,3,46,0,10,1,85,2,0,5,1,13,3.5,0,5,2.3,1,3,1.4,1,2,0.666666667,0,0,0
1,23,204,6,0,1,1,15,3,30,0,2,3,5,33,1,5,14,29,0,3,7,4,99,14,7,32,135,47,0.24,36,79,6,60,5,5,3,65,1,0,2,1,7,4.2,2,21,8.6,1,9,4.2,1,2,1.142857143,0,0,0
3,14,209,13,0,1,8,27,3,16,3,1,3,8,32,1,8,24,70,0,1,16,5,92,24,8,65,153,57,0.21,25,122,13,97,0,5,3,83,1,0,3,2,6,3.25,1,24,6.25,1,264,34.375,1,2,1,0,1,1
1,10,102,1,0,1,0,3,1,17,0,3,1,3,31,1,3,3,36,0,0,1,2,25,3,3,36,53,13,0.58,18,49,1,45,3,3,1,0,2,0,8,1,6,2.666666667,1,15,11.33333333,9,1,1,1,0,0,0,1,1
1,1,45,1,1,1,0,2,1,1,0,0,1,2,30,4,2,2,9,0,0,1,0,0,2,2,8,10,0,3,6,8,1,6,0,2,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,0,46,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,9,0,0,0,0,0,0,0,6,10,0,3.2,4,6,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,139,4,0,1,0,11,2,15,0,4,2,5,59,1,5,11,21,0,4,4,5,33,11,5,21,63,22,0.94,17,43,4,30,1,5,2,50,1,2,0,1,6,4.2,3,9,5,1,5,2.4,1,2,1.375,0,0,0
0,25,73,2,0,1,0,2,2,35,1,10,2,1,31,1,1,2,19,0,0,2,1,19,2,1,18,37,12,0.84,7,30,2,25,2,0,2,0,1,0,0,1,6,6,6,7,7,7,2,2,2,3,3,3,1,1
1,11,283,6,1,2,1,34,3,18,9,6,3,10,101,1,10,29,44,0,2,7,8,88,29,15,46,150,65,0.67,32,111,6,74,0,1,3,96,1,0,2,1,6,4,0,10,4.9,1,6,3,1,3,1.666666667,0,2,1
0,1,26,1,1,1,0,1,1,4,0,3,1,1,20,1,1,1,3,0,0,1,0,0,1,1,3,4,0,5,2,3,1,2,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0
0,7,70,3,0,1,1,7,2,9,4,1,2,4,26,1,4,7,10,0,0,3,4,17,7,4,11,36,14,0.72,8,25,3,13,0,0,2,25,1,0,1,1,3,2.5,2,3,2,1,3,1.75,1,2,1.166666667,0,0,0
0,3,59,1,0,1,0,5,1,4,0,0,1,5,18,1,5,5,17,0,1,1,5,8,5,5,14,30,7,0.6,11,21,1,15,0,5,1,40,2,0,0,1,5,2.8,0,2,1.4,1,1,1,1,2,0.25,0,0,0
0,5,108,6,0,1,0,20,2,6,0,1,2,10,33,1,10,18,17,0,0,8,10,30,18,12,13,64,30,0.52,11,43,6,25,0,10,2,0,2,1,0,1,9,3.6,1,2,1,0,15,2.7,1,1,0.333333333,0,0,0
1,5,107,3,0,1,0,18,1,6,0,1,1,10,33,1,10,14,23,0,0,7,9,29,14,12,19,63,25,0.52,11,44,3,29,0,10,2,0,2,1,0,1,17,6,2,2,1.2,0,3,1.4,1,2,0.583333333,0,0,0
1,4,46,2,0,1,0,3,2,9,1,4,2,2,30,1,2,3,5,0,0,2,1,4,3,2,5,12,3,2.5,4,8,2,4,0,1,2,0,1,0,0,1,26,13,0,4,2.5,1,2,1.5,1,1,0.75,0,0,0
0,7,59,2,0,1,2,3,2,10,1,3,2,2,27,2,2,3,12,0,0,2,2,11,3,2,11,25,6,1.08,7,17,2,12,0,1,2,50,2,0,1,1,6,4,2,6,3.5,1,2,1.5,1,1,0.6,0,0,0
1,8,220,3,1,1,4,31,2,9,8,1,2,14,55,3,14,30,41,1,6,4,11,79,30,16,38,139,56,0.4,26,94,3,59,0,6,2,53,1,0,3,2,8,3.714285714,0,7,3.5,1,3,2.142857143,1,2,1,0,0,0
0,1,51,1,0,1,0,3,1,6,0,5,1,3,35,1,3,3,7,0,0,1,3,0,3,3,7,8,0,4.38,8,7,1,6,0,3,1,0,2,1,0,1,1,1,1,1,0.666666667,0,1,1,1,0,0,0,0,0
0,9,166,6,0,1,0,26,3,10,0,0,3,10,22,1,10,26,45,0,6,6,10,63,26,13,39,127,42,0.17,17,81,6,49,0,10,3,80,1,0,0,2,6,2.7,1,8,3.4,2,6,2.6,1,2,1.25,0,0,0
0,14,52,3,0,1,1,3,3,15,1,1,3,1,23,1,1,3,12,0,0,3,1,10,3,1,12,23,5,1,6,17,3,13,0,0,3,0,1,0,2,1,9,9,9,6,6,6,3,3,3,2,2,2,0,0
6,4,1130,5,13,1,6,90,1,5,22,0,1,62,227,8,66,90,522,0,318,5,47,249,90,68,128,775,167,0.29,152,295,5,202,0,44,1,100,2,5,3,1,70,8.803030303,0,10,2.878787879,0,16,1.439393939,0,3,0.368421053,0,12,1
3,6,87,2,0,1,0,7,1,7,0,1,1,6,29,1,6,7,14,0,0,2,3,22,7,6,14,43,22,0.67,15,36,2,28,0,6,1,0,2,0,2,1,7,2.833333333,0,6,3,1,2,1.166666667,1,1,0.375,0,0,0
0,6,204,5,1,1,0,26,2,7,1,1,2,14,50,2,14,24,62,0,6,7,13,51,24,20,49,128,36,0.39,27,85,5,63,0,13,2,65,1,0,3,3,7,2.214285714,0,7,2.857142857,1,9,2,1,2,0.666666667,0,0,0
0,10,133,4,0,1,0,10,2,11,0,0,2,5,36,2,5,10,41,0,4,4,5,32,10,5,34,79,24,0.46,18,58,4,46,1,5,2,50,3,0,2,3,6,3.8,2,5,3.4,1,8,2.8,1,2,0.7,0,0,0
0,24,176,6,0,1,1,15,5,31,0,4,5,3,43,1,3,15,51,0,7,6,3,59,15,3,39,117,41,0.37,16,80,6,64,2,3,5,66,2,0,11,1,12,6.666666667,2,15,8,3,14,9.666666667,3,3,2.833333333,2,0,0
0,5,48,2,0,1,1,3,2,6,0,0,2,2,21,1,2,3,10,0,0,2,2,6,3,2,8,19,4,1.11,8,12,2,8,1,2,2,50,1,0,2,2,4,2,0,3,1.5,0,2,1.5,1,1,0.8,0,0,0
1,4,41,1,0,1,0,3,1,4,1,0,1,3,21,2,3,3,7,0,0,1,2,5,3,3,8,16,2,1.31,4,10,1,6,0,2,1,0,1,0,1,2,2,0.666666667,0,1,1,1,1,1,1,1,0.142857143,0,0,0
