CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,loc,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,bugs,label
0,11,15,4,0,1,0,4,4,11,1,0,4,1,0,1,1,4,5,0,0,4,1,7,4,1,7,13,7,0,2,14,4,9,0,0,4,0,1,0,1,1,0,0,0,3,3,3,4,4,4,3,3,3,0,0
4,12,84,5,0,1,1,15,3,12,5,0,3,5,0,1,5,15,32,0,0,5,1,44,15,5,35,75,28,0,9,63,5,49,0,0,3,80,1,0,6,1,5,3.4,2,15,5.6,2,4,2.6,2,3,2,1,0,0
0,11,15,4,0,1,0,4,4,11,1,0,4,1,0,1,1,4,5,0,0,4,1,7,4,1,7,13,7,0,2,14,4,9,0,0,4,0,1,0,1,1,0,0,0,3,3,3,4,4,4,3,3,3,0,0
0,9,484,10,0,1,0,114,3,9,0,0,3,42,43,0,0,106,134,0,0,12,0,161,106,48,123,358,211,0.12,75,334,10,220,1,0,3,0,0,0,0,0,16,3.5,1,18,5.714285714,1,12,2.261904762,1,3,0.860465116,0,0,0
0,8,102,7,0,1,0,20,3,9,0,0,3,7,28,0,0,20,25,0,0,7,0,21,20,7,26,57,26,0.49,13,52,7,32,1,0,3,0,0,0,0,0,5,2.428571429,1,15,7.714285714,2,2,1.714285714,1,1,0.75,0,0,0
0,8,245,5,0,1,0,54,2,8,0,0,2,22,30,0,0,51,87,0,0,7,0,64,51,22,81,171,80,0.18,39,161,5,103,1,0,2,0,0,0,0,0,6,3.272727273,2,13,7.5,1,4,1.727272727,1,3,0.695652174,0,0,0
0,10,105,5,0,1,0,11,2,11,0,0,2,5,27,0,0,11,15,0,0,5,0,27,11,5,16,51,32,0.53,19,50,5,37,2,0,2,0,0,0,0,0,9,5.4,2,14,8.2,2,6,2.2,1,2,1,0,0,0
0,13,196,6,0,1,0,29,3,16,0,0,3,9,31,0,0,26,39,0,0,7,0,67,26,15,44,122,58,0.25,38,102,6,70,3,0,3,0,0,0,0,0,9,3.666666667,1,15,6.555555556,1,13,3.666666667,1,3,1.2,0,0,0
0,8,175,5,0,1,0,23,2,9,0,0,2,14,29,0,0,21,34,0,0,5,0,54,23,17,26,115,62,0.25,27,88,5,61,1,0,2,0,0,0,0,0,12,3.571428571,1,13,5.214285714,2,4,1.428571429,1,2,0.466666667,0,0,0
0,10,114,2,0,1,0,9,2,12,0,0,2,6,28,0,0,9,26,0,0,2,0,24,9,6,27,59,24,0.47,22,51,2,35,2,0,2,0,0,0,0,0,6,5.333333333,4,9,6.166666667,2,2,1.5,1,1,0.571428571,0,0,0
