Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs,label
39,1,420,2,0.0,0,0,0,0.0,0.0,0,0,3,14,7,118,17,2,2,45,51,0.0,0.157303,56,0,0,7,0.157303,56,0,0,0,0,0,300,382,0,1,0,1,6,0,6,0,6,191,0,6,0,300,382,0,1,0,1,6,0,6,0,6,191,0,6,0,0,0,32,0,89,0,3,60,0,0,0,1,0,10,2,3,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,3,1
29,1,211,2,0.34326599999999996,2,11,5,0.38797800000000005,0.42515,71,71,1,4,4,20,2,4,6,0,6,0.571429,0.034682099999999993,6,5,4,3,0.034682099999999993,6,0,0,0,0,0,167,183,2,1,2,1,6,0,6,0,6,86,0,6,0,167,183,2,1,2,1,6,0,6,0,6,86,0,6,0,0,11,44,14,39,0,0,0,0,26,0,0,0,3,0,0,0,31,15,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,5,8,0,0,1,1
31,1,104,2,0.133178,1,1,1,0.162162,0.166667,12,12,1,5,5,21,6,1,1,9,11,0.0,0.0649351,5,0,0,3,0.0649351,5,0,0,0,0,0,72,74,0,0,0,0,2,0,2,0,2,41,0,2,0,72,74,0,0,0,0,2,0,2,0,2,41,0,2,0,0,0,19,0,11,0,1,0,0,9,0,0,0,3,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
33,1,279,2,0.307571,3,34,7,0.161943,0.18867899999999999,40,40,1,4,4,51,5,3,3,4,8,0.2,0.232975,65,3,1,4,0.232975,65,0,0,0,0,0,214,247,2,0,2,0,4,0,4,0,4,148,0,4,0,214,247,2,0,2,0,4,0,4,0,4,148,0,4,0,0,1,24,9,52,0,0,7,0,12,0,0,0,3,1,0,0,19,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,2,5,6,1,0,0,0,0
35,1,521,2,0.402424,13,237,35,0.342916,0.37246,167,165,17,5,4,170,6,25,45,16,40,0.04,0.0509091,14,5,1,24,0.06302519999999999,30,0,0,0,0,0,261,283,1,7,1,7,24,1,24,0,24,139,1,24,0,446,487,1,7,1,7,25,1,25,0,25,246,1,25,0,0,2,127,4,137,0,0,80,0,50,0,1,0,8,2,1,0,51,52,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,15,1,3,0,0,0,0,0
62,1,418,2,0.0907975,1,2,2,0.05602240000000001,0.0658436,20,16,5,3,3,38,49,29,0,29,42,0.07692310000000001,0.219048,69,21,1,12,0.219048,69,0,0,0,0,0,246,357,15,4,15,4,13,7,12,0,13,172,7,12,0,246,357,15,4,15,4,13,7,12,0,13,172,7,12,0,0,14,45,10,62,0,3,13,0,9,0,1,0,0,3,2,0,49,25,3,0,0,0,0,0,0,7,0,0,0,0,0,0,6,1,0,8,1,0,3,0,0,1,1
31,1,352,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,87,1,42,55,0,41,0.0,0.0,0,0,0,42,0.0,0,0,0,0,0,0,312,319,4,2,4,2,41,1,41,1,41,140,1,41,1,315,322,7,2,7,2,41,4,41,1,41,140,4,41,1,0,1,93,0,104,0,0,4,0,0,0,0,0,0,0,0,0,94,85,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,8,0,0,0,0,0,0,0
28,1,112,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,16,1,58,104,2,11,0.2,0.05333330000000001,4,3,2,8,0.05333330000000001,4,0,0,0,0,0,71,85,7,3,7,3,9,1,9,0,9,26,1,9,0,71,85,7,3,7,3,9,1,9,0,9,26,1,9,0,0,2,25,3,22,0,1,3,0,0,0,1,0,0,3,0,0,15,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0
24,1,617,3,0.173299,10,25,25,0.200337,0.182171,119,94,1,2,2,15,1,49,2,0,9,0.0,0.018903599999999996,10,0,0,3,0.018903599999999996,10,0,0,0,0,0,519,594,213,0,213,0,9,211,2,0,9,446,211,2,0,519,594,213,0,213,0,9,211,2,0,9,446,211,2,0,0,0,61,4,278,0,0,1,0,20,0,0,0,0,2,0,0,217,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,55,1,0,20,2,0,0,0,0,0,0
27,1,90,2,0.534884,1,4,2,0.59375,0.55,38,22,2,1,1,5,1,10,5,0,3,0.0,0.24074099999999998,13,1,0,4,0.24074099999999998,13,0,0,0,0,0,41,64,12,0,12,0,3,9,3,0,3,13,9,3,0,41,64,12,0,12,0,3,9,3,0,3,13,9,3,0,0,0,31,5,6,0,0,0,0,19,0,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,5,0,0,0,0
