Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs,label
38,1,121,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,5,0,0,8,14,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,51,60,1,1,1,1,6,0,2,0,6,15,0,2,0,73,84,3,1,3,1,9,0,5,0,9,18,0,5,0,0,0,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,87,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,10,1,1,1,0,5,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,53,59,4,1,2,0,5,0,3,0,10,18,0,6,1,53,59,4,1,2,0,5,0,3,0,10,18,0,6,1,0,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
34,1,119,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,5,6,0,0,6,8,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,35,39,1,0,1,0,2,0,2,0,2,14,0,2,0,79,86,4,1,4,1,5,0,4,0,5,31,0,4,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,182,2,0.132678,1,4,1,0.12121199999999999,0.137931,16,16,4,2,2,22,9,40,35,11,21,0.125,0.0413223,5,5,1,7,0.04,5,0,0,23,27,0,116,128,3,1,3,1,10,0,7,2,10,43,0,7,2,120,132,6,1,6,1,10,3,7,2,11,43,3,8,2,0,0,36,2,8,0,0,0,0,9,0,1,0,0,0,0,0,7,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0
35,1,271,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,39,7,37,114,10,31,0.23809499999999997,0.139535,30,30,5,16,0.139535,30,0,0,0,0,0,185,237,6,6,6,6,21,1,20,1,21,83,1,20,1,185,237,6,6,6,6,21,1,20,1,21,83,1,20,1,0,1,43,4,9,0,0,0,0,0,0,0,0,0,6,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,2,0,0,0,0
56,1,278,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,12,19,1,0,14,20,0.8,0.196721,24,19,4,1,0.11428599999999998,24,0,0,0,0,0,98,129,2,0,2,0,6,1,4,0,6,45,1,4,0,186,223,7,0,6,0,14,3,8,0,19,81,3,13,0,0,0,49,4,13,0,0,0,0,0,0,0,0,0,2,1,0,8,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0
54,1,190,2,0.14315799999999998,1,2,2,0.175182,0.169811,24,18,1,1,1,6,20,0,0,37,43,0.0,0.14843800000000001,19,0,0,7,0.14843800000000001,19,0,0,0,0,0,109,137,2,0,2,0,6,1,6,0,6,51,1,6,0,109,137,2,0,2,0,6,1,6,0,6,51,1,6,0,0,0,32,8,1,0,0,0,0,14,0,0,0,0,0,3,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,2,0,0,0
51,1,325,2,0.368996,4,5,5,0.32363600000000003,0.312849,89,56,3,1,1,9,20,0,0,31,39,0.0,0.268293,66,0,0,8,0.268293,66,1,1,0,0,1,180,275,3,1,3,1,8,1,7,0,8,98,1,7,0,180,275,3,1,3,1,8,1,7,0,8,98,1,7,0,0,0,48,15,30,0,0,0,0,26,0,1,0,0,3,4,0,5,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,4,0,8,4,3,0,0,0
79,1,665,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,27,35,0,0,72,89,0.0625,0.25155900000000003,121,2,1,15,0.247104,128,0,0,0,0,0,360,557,2,0,2,0,17,0,15,1,17,242,0,15,1,390,587,3,0,3,0,18,0,16,1,18,242,0,16,1,0,4,52,19,75,0,0,0,0,0,0,1,0,0,1,8,0,31,39,0,0,0,0,0,46,0,0,0,0,0,0,0,0,2,0,0,4,0,14,0,4,0,0,0
35,1,102,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,8,0,0,13,19,0.0,0.12069,7,0,0,7,0.12069,7,0,0,0,0,0,51,68,2,0,2,0,6,0,6,1,6,20,0,6,1,51,68,2,0,2,0,6,0,6,1,6,20,0,6,1,0,0,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1,62,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,1,11,0,0,13,14,0.5,0.25,7,5,1,1,0.25,7,0,0,0,0,0,21,23,0,0,0,0,1,0,1,0,1,12,0,1,0,21,23,0,0,0,0,1,0,1,0,1,12,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,1,291,2,0.028720599999999995,1,1,1,0.041666699999999994,0.0420561,10,9,3,3,3,27,13,2,1,18,33,0.0,0.0,0,0,0,11,0.0,0,0,0,0,0,0,174,193,6,0,6,0,15,0,10,1,15,79,0,10,1,218,240,14,0,9,0,20,0,14,1,24,92,4,18,1,0,0,71,6,43,0,0,2,0,7,0,1,0,0,4,1,0,34,55,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0
60,1,838,2,0.341021,11,38,25,0.287548,0.28635700000000003,224,191,2,4,3,79,21,0,0,34,56,0.0,0.027941200000000003,19,0,0,18,0.0275762,19,1,1,0,0,1,661,770,3,0,3,0,22,1,17,2,22,470,1,17,2,670,779,9,0,9,0,22,7,17,2,23,470,7,18,2,0,0,124,7,91,0,0,0,0,62,0,1,0,2,0,2,0,5,47,0,0,0,0,0,85,0,0,0,0,0,0,0,0,1,0,0,10,0,4,1,2,0,0,0
50,1,136,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,8,13,1,3,14,20,0.0,0.053571400000000005,3,0,0,3,0.038961,3,0,0,0,0,0,53,63,0,0,0,0,6,0,2,0,6,28,0,2,0,74,87,1,0,1,0,9,0,5,0,9,34,0,5,0,0,0,27,2,10,0,0,4,0,0,0,2,0,0,0,1,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
93,1,271,2,0.08267089999999999,1,1,1,0.055865899999999996,0.0675676,10,10,1,2,2,7,26,0,0,35,41,0.666667,0.258741,37,25,2,1,0.20634899999999998,39,0,0,0,0,0,106,132,4,0,4,0,6,0,2,0,6,57,0,2,0,150,179,59,14,4,0,11,0,6,0,99,66,0,50,3,0,1,53,1,12,0,0,0,0,8,0,1,0,0,1,3,0,6,34,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,6,0,0,1,0,0,0,0
52,1,241,2,0.353041,3,4,3,0.173684,0.20886100000000002,33,33,3,1,1,11,17,2,0,20,27,1.0,0.120879,11,11,5,0,0.0632184,11,1,1,0,0,1,80,103,7,2,5,1,7,0,4,0,19,40,0,7,0,163,190,18,2,5,1,15,0,8,0,72,70,2,43,2,0,0,92,6,8,0,0,5,0,33,0,2,0,0,0,1,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,0,4,0,0,0,0
65,1,394,2,0.07509880000000001,1,2,2,0.0606061,0.0696864,20,20,4,2,2,19,19,5,3,19,35,0.08333330000000001,0.051136400000000005,9,7,1,11,0.0295082,9,1,1,0,0,1,167,194,14,1,12,0,16,0,11,0,28,70,0,14,0,296,330,19,2,17,1,25,0,18,0,37,116,0,21,0,0,0,91,29,8,0,0,4,0,14,0,1,0,2,0,1,0,2,71,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,0,1,2,3,2,13,0,0,0,0
43,1,93,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,14,0,0,20,22,0.333333,0.26087,12,9,1,2,0.26087,12,0,0,0,0,0,34,51,1,0,1,0,2,0,2,0,2,17,0,2,0,34,51,1,0,1,0,2,0,2,0,2,17,0,2,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
44,1,133,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,13,0,0,14,21,0.25,0.306667,23,16,1,3,0.283951,23,0,0,0,0,0,52,84,2,0,2,0,7,0,3,0,7,20,0,3,0,58,90,2,0,2,0,8,0,4,0,10,21,0,6,0,0,1,19,4,4,0,0,2,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
55,1,259,2,0.0832,1,1,1,0.0487805,0.0588235,10,10,1,2,2,19,21,0,0,35,51,0.166667,0.0806452,15,3,1,5,0.0806452,15,0,0,0,0,0,171,205,4,0,4,0,16,1,5,1,16,76,1,5,1,171,205,4,0,4,0,16,1,5,1,16,76,1,5,1,0,0,50,6,7,0,0,0,0,8,0,0,0,0,0,3,0,4,35,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0
53,1,166,2,0.0,0,0,0,0.0,0.0,0,0,3,4,4,8,15,0,0,10,14,0.0,0.028169,2,0,0,4,0.0190476,2,0,0,0,0,0,69,77,0,0,0,0,4,0,3,0,4,34,0,3,0,103,114,57,9,2,0,8,0,5,0,77,42,1,33,0,0,0,41,5,4,0,0,0,0,0,0,1,0,2,0,1,0,1,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,0,0,0,0
60,1,255,2,0.344316,3,4,3,0.16836700000000002,0.211538,33,33,4,1,1,7,23,2,0,30,35,0.666667,0.15,15,15,2,1,0.08888889999999999,16,1,1,0,0,1,85,114,9,1,7,0,5,0,2,0,17,38,0,5,0,164,196,20,1,7,0,12,0,5,0,69,67,2,40,2,0,0,89,5,7,0,0,3,0,33,0,2,0,0,0,3,0,2,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,6,1,0,2,0,0,0,0
41,1,190,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,8,5,2,10,14,0.0,0.051282100000000004,2,0,0,2,0.0289855,4,1,1,0,0,1,37,47,8,1,6,0,4,0,1,0,16,12,0,4,0,134,150,20,1,9,0,13,0,6,1,85,48,2,54,4,0,0,57,5,13,0,0,6,0,0,0,1,0,0,2,1,0,1,46,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,9,1,0,1,2,0,0,0
36,1,196,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,7,4,0,9,15,0.0,0.011764700000000001,1,0,0,3,0.0070922,1,0,0,0,0,0,84,105,6,0,6,0,6,0,2,1,6,39,0,2,1,140,161,6,0,6,0,10,0,6,1,10,52,0,6,1,0,0,37,21,1,0,0,0,0,0,0,0,0,0,0,1,0,4,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,5,4,0,0,0
40,1,187,2,0.0,0,0,0,0.0,0.0,0,0,6,1,1,6,10,6,2,12,18,0.333333,0.107143,6,3,1,2,0.0441176,6,1,1,0,0,1,50,65,9,1,7,0,6,0,2,0,18,12,0,5,0,130,148,19,1,8,0,14,0,5,0,106,38,2,68,4,0,0,58,6,5,0,0,0,0,0,0,1,0,0,3,0,0,1,46,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,2,2,1,0,0,0
64,1,415,2,0.121001,2,4,4,0.11931800000000001,0.135484,42,42,1,4,4,37,22,1,0,48,69,0.0,0.0410959,12,0,0,16,0.037037,12,0,0,0,0,0,280,319,4,0,4,0,21,1,15,0,21,151,1,15,0,312,352,12,2,4,0,26,1,19,0,56,158,1,43,0,0,1,142,1,48,0,0,2,0,61,0,0,0,2,0,4,0,7,70,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2,1,0,5,0,0,1,0,0,0,0
58,1,471,2,0.0139373,2,4,2,0.02657,0.0261097,11,10,2,4,4,47,7,0,0,10,22,0.0,0.00260417,1,0,0,4,0.00253807,1,0,0,0,0,0,383,404,12,4,12,4,12,0,3,0,12,149,0,3,0,393,414,12,4,12,4,12,0,3,0,12,149,0,3,0,0,3,47,9,10,0,1,0,0,8,0,1,0,2,0,0,0,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,3,3,0,0,0,0
47,1,149,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,19,0,0,22,28,0.5,0.138298,13,4,1,1,0.138298,13,0,0,0,0,0,81,103,1,2,1,2,6,0,1,0,6,33,0,1,0,81,103,1,2,1,2,6,0,1,0,6,33,0,1,0,0,0,17,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
70,5,89,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,0,0,3,5,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,18,20,2,0,2,0,2,0,2,0,2,3,0,2,0,18,20,2,0,2,0,2,0,2,0,2,3,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,83,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,6,6,1,2,4,7,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,44,47,3,1,3,1,3,0,2,0,3,17,0,2,0,44,47,3,1,3,1,3,0,2,0,3,17,0,2,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,45,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,2,3,0,0,1,17,17,3,0,0,0,1,0,1,0,2,15,3,2,0,17,17,3,0,0,0,1,0,1,0,2,15,3,2,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
46,5,55,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,2,3,0,0,1,10,10,3,0,0,0,1,0,1,0,2,5,3,2,0,10,10,3,0,0,0,1,0,1,0,2,5,3,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
56,5,109,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,5,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,2,3,0,0,1,45,54,3,0,0,0,1,0,1,0,2,32,3,2,0,45,54,3,0,0,0,1,0,1,0,2,32,3,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
90,5,99,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.545455,6,6,1,0,0.41176499999999994,7,0,0,0,0,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,10,10,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5,88,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,8,2,3,6,8,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,24,27,3,0,3,0,2,0,2,0,2,9,0,2,0,30,33,4,0,3,0,3,0,2,0,7,10,0,6,0,0,0,12,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
