wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
1,1,0,3,1,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
26,1,0,10,67,171,3,8,20,0.916,1006,0.95,0,0,0.195,0,0,36.923077,0,0,0,0,18,2.6153846,0,0
3,1,1,20,35,3,1,19,2,2,111,0,0,0,0.5,0,0,36,2,2,22,0,4,1.6666666,5,1
2,3,0,4,5,1,0,4,1,2,23,1,0,0.93333334,0.75,1,1,10,0,0,0,0,3,1.5,0,0
1,1,0,7,1,0,6,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
8,1,0,11,8,28,2,9,8,1.1428572,11,0,0,0,0.3375,0,0,0,0,0,0,0,1,1,0,0
3,3,0,14,36,1,0,14,2,0.75,211,0.5,0,0.875,0.6666667,2,2,68.666664,0,0,0,0,12,4,1,1
2,1,0,5,6,1,0,5,2,2,15,0,0,0,0.6,0,0,6.5,0,0,0,0,1,0.5,1,1
2,1,0,18,26,1,3,15,1,2,86,0,0,0,0.5,0,0,42,1,1,10,1,2,1,0,0
0,1,0,2,0,0,2,0,0,2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,0,0,5,0,0,0,0,2,29,0,0,0,0,0,0,12,2,2,8,0,0,0,2,1
9,3,0,6,13,34,0,6,9,0.975,54,0.8,0,0.8367347,1,0,0,4.4444447,0,0,0,0,2,1,1,1
0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
16,1,0,8,40,96,2,6,8,0.8333333,719,0.8333333,1,0,0.49333334,0,0,43.1875,0,0,0,0,5,2.0625,1,1
34,2,0,2,35,527,1,1,33,0.97306395,231,0.7777778,0,0.2888889,0.28484848,1,5,5.2647057,0,0,0,0,1,0.9411765,0,0
3,2,0,17,34,3,0,17,1,0.5,132,0,0,0.6,0.45833334,0,0,42.666668,0,0,0,0,1,0.6666667,2,1
21,2,0,4,55,162,1,3,20,0.92,484,0.5,0,0.40625,0.28,2,9,21.571428,0,0,0,0,9,1.8571428,0,0
2,1,2,10,14,1,2,8,1,2,49,0,0,0,0.75,0,0,23.5,0,0,0,0,5,2.5,0,0
9,1,0,13,106,4,0,13,1,0.64285713,551,1,1,0,0.125,0,0,59.444443,0,0,0,0,1,0.7777778,0,0
10,0,0,4,27,3,1,4,7,0.11111111,370,0,1,0,0.38333333,0,0,35.9,0,0,0,0,1,0.8,0,0
2,1,18,25,7,1,19,6,2,1,126,0.5,3,0,0.75,0,0,57,0,0,0,0,7,3.5,0,0
