,KNN/Kmeans,KNN/SMR,KNN/SVDD,Kmeans/KNN,Kmeans/SMR,Kmeans/SVDD,SMR/KNN,SMR/Kmeans,SMR/SVDD,SVDD/KNN,SVDD/Kmeans,SVDD/SMR
activemq-5.0.0.csv,0.421052632,0.236702128,0.067375887,0.653846154,0.425531915,0.091312057,0.427884615,0.495356037,0.09929078,0.365384615,0.318885449,0.29787234
activemq-5.1.0.csv,0.53968254,0.195431472,0.043137255,0.723404255,0.284263959,0.060784314,0.546099291,0.592592593,0.217647059,0.156028369,0.164021164,0.281725888
activemq-5.2.0.csv,0.473684211,0.230392157,0.035379813,0.721925134,0.362745098,0.072840791,0.502673797,0.519298246,0.021852237,0.181818182,0.245614035,0.051470588
activemq-5.3.0.csv,0.512738854,0.179704017,0.079563183,0.785365854,0.350951374,0.132605304,0.414634146,0.52866242,0.343213729,0.248780488,0.270700637,0.465116279
activemq-5.8.0.csv,0.663793103,0.15497076,0,0.850828729,0.203216374,0,0.585635359,0.599137931,0,0,0,0
Android-Universal-Image-Loader-Class1.csv,0.275862069,0.071428571,0.166666667,0.666666667,0.428571429,0,0.083333333,0.206896552,0,0.083333333,0,0
Android-Universal-Image-Loader-Class2.csv,0.727272727,0.263157895,0.111111111,0.727272727,0.315789474,0,0.454545455,0.545454545,0.111111111,0.090909091,0,0.052631579
Android-Universal-Image-Loader-Class3.csv,1,0.047619048,0,1,0.047619048,0,0.5,0.5,0.090909091,0,0,0.047619048
Android-Universal-Image-Loader-Class4.csv,0.357142857,0.130434783,0,1,0.391304348,0.090909091,0.6,0.642857143,0.090909091,0,0.071428571,0.043478261
Android-Universal-Image-Loader-Class5.csv,1,0.086956522,0,1,0.086956522,0,1,1,0.230769231,0,0,0.130434783
Android-Universal-Image-Loader-Class6.csv,1,1,1,1,1,1,1,1,1,1,1,1
ant-1.3.csv,0.233333333,0.04,0.142857143,0.4375,0,0,0.0625,0,1,0.0625,0,0.28
ant-1.4.csv,0.338461538,0.257142857,0.066666667,0.6875,0.628571429,0.266666667,0.28125,0.338461538,0,0.03125,0.061538462,0
ant-1.5.csv,0.395348837,0.224137931,0.125,0.62962963,0.517241379,0.125,0.481481481,0.697674419,0.208333333,0.111111111,0.069767442,0.086206897
ant-1.6.csv,0.384615385,0.3,0.08,0.68627451,0.271428571,0,0.411764706,0.208791209,0.32,0.039215686,0,0.114285714
ant-1.7.csv,0.357512953,0.322147651,0.012987013,0.58974359,0.402684564,0,0.41025641,0.310880829,0.103896104,0.008547009,0,0.053691275
antlr4-Class1.csv,1,0.093023256,0,1,0.093023256,0,0.615384615,0.615384615,0,0,0,0
antlr4-Class2.csv,0.833333333,0.045977011,0,0.833333333,0.045977011,0.023809524,0.666666667,0.666666667,0.119047619,0,0.166666667,0.057471264
antlr4-Class3.csv,0.580645161,0.031578947,0.027777778,0.857142857,0.021052632,0,0.142857143,0.064516129,0.277777778,0.047619048,0,0.105263158
antlr4-Class4.csv,0.555555556,0.051020408,0.022727273,0.833333333,0.091836735,0,0.833333333,1,0,0.166666667,0,0
antlr4-Class5.csv,1,0,0,0.857142857,0,0,0,0,0.545454545,0,0,0.233009709
arc.csv,0.62962963,0.195652174,0.08,0.708333333,0.173913043,0.08,0.375,0.296296296,0.08,0.083333333,0.074074074,0.043478261
berek.csv,0.1,0,0,0.333333333,0,0.090909091,0,0,0.090909091,0,0.1,0.125
BroadleafCommerce-Class1.csv,0,0,0,0,0,0,0,0,0,0,0,0
BroadleafCommerce-Class10.csv,0.842105263,0.040498442,0,0.914285714,0.037383178,0.00990099,0.371428571,0.315789474,0,0,0.026315789,0
BroadleafCommerce-Class11.csv,1,1,1,1,1,1,1,1,1,1,1,1
BroadleafCommerce-Class2.csv,1,1,1,1,1,1,1,1,1,1,1,1
BroadleafCommerce-Class3.csv,1,1,1,1,1,1,1,1,1,1,1,1
BroadleafCommerce-Class4.csv,1,1,1,1,1,1,1,1,1,1,1,1
BroadleafCommerce-Class5.csv,1,1,1,1,1,1,1,1,1,1,1,1
BroadleafCommerce-Class6.csv,0.405172414,0.05,0.053846154,0.68115942,0.068421053,0.038461538,0.275362319,0.224137931,0.353846154,0.101449275,0.043103448,0.121052632
BroadleafCommerce-Class7.csv,0.495192308,0.038338658,0.032520325,0.72027972,0.031948882,0.032520325,0.083916084,0.048076923,0.853658537,0.027972028,0.019230769,0.335463259
BroadleafCommerce-Class8.csv,0.392523364,0.025157233,0.024590164,0.608695652,0.022012579,0.057377049,0.057971014,0.03271028,0.647540984,0.02173913,0.03271028,0.248427673
BroadleafCommerce-Class9.csv,0.514925373,0.018421053,0.020408163,0.884615385,0.018421053,0.030612245,0.08974359,0.052238806,0.040816327,0.025641026,0.02238806,0.010526316
camel-1.0.csv,0.916666667,0.104477612,0.096774194,0.785714286,0.089552239,0.064516129,0.5,0.5,0.193548387,0.214285714,0.166666667,0.089552239
camel-1.2.csv,0.307420495,0.355371901,0.172413793,0.514792899,0.454545455,0.293103448,0.25443787,0.19434629,0.206896552,0.059171598,0.060070671,0.099173554
camel-1.4.csv,0.523529412,0.051724138,0.06779661,0.723577236,0.063218391,0.050847458,0.073170732,0.064705882,0.915254237,0.032520325,0.017647059,0.310344828
camel-1.6.csv,0.423580786,0.093264249,0.092592593,0.567251462,0.124352332,0.055555556,0.105263158,0.104803493,0.851851852,0.029239766,0.013100437,0.238341969
camel-2.10.0.csv,0.668103448,0.092288243,0.012165098,0.745192308,0.108091024,0.013034033,0.701923077,0.737068966,0.082983345,0.403846154,0.387931034,0.362199747
camel-2.11.0.csv,0.673366834,0.066704353,0.011125296,0.701570681,0.061616733,0.013313879,0.617801047,0.547738693,0.014043407,0.319371728,0.366834171,0.043527417
camel-2.9.0.csv,0.686486486,0.096,0.024103036,0.760479042,0.109333333,0.027598896,0.646706587,0.664864865,0.171849126,0.784431138,0.810810811,0.830222222
ceylon-ide-eclipse-Class1.csv,1,1,1,1,1,1,1,1,1,1,1,1
ceylon-ide-eclipse-Class2.csv,1,1,1,1,1,1,1,1,1,1,1,1
ceylon-ide-eclipse-Class3.csv,1,1,1,1,1,1,1,1,1,1,1,1
