overlapratio,values,measure,classifier
0.268,0.385964912,Recall,DT
0.2,0.228870968,Recall,DT
0.189,0.212218238,Recall,DT
0.17,0.34709049,Recall,DT
0.07,0.249896865,Recall,DT
0.059,0.308430913,Recall,DT
0.169,0.216127693,Recall,DT
0.153,0.313780568,Recall,DT
0.079,0.219047619,Recall,DT
0.168,0.230071946,Recall,DT
0.096,0.247807017,Recall,DT
0.095,0.223280229,Recall,DT
0.071,0.234757687,Recall,DT
0.057,0.238101604,Recall,DT
0.069,0.319469469,Recall,DT
0.151,0.240973401,Recall,DT
0.253,0.345075637,Recall,DT
0.21,0.276642336,Recall,DT
0.268,0.194018591,AUC,DT
0.2,0.124137752,AUC,DT
0.189,0.150481092,AUC,DT
0.17,0.17255961,AUC,DT
0.07,0.172265338,AUC,DT
0.059,0.159453961,AUC,DT
0.169,0.078363252,AUC,DT
0.153,0.110423475,AUC,DT
0.079,0.165513312,AUC,DT
0.168,0.118177692,AUC,DT
0.096,0.130726217,AUC,DT
0.095,0.141541723,AUC,DT
0.071,0.176329272,AUC,DT
0.057,0.150270434,AUC,DT
0.069,0.187363668,AUC,DT
0.151,0.098417357,AUC,DT
0.253,0.164166357,AUC,DT
0.21,0.16476602,AUC,DT
0.268,0.198153184,Brier,DT
0.2,0.090274058,Brier,DT
0.189,0.122685923,Brier,DT
0.17,0.107172222,Brier,DT
0.07,0.038813287,Brier,DT
0.059,0.048564875,Brier,DT
0.169,0.074843793,Brier,DT
0.153,0.094548168,Brier,DT
0.079,0.062377566,Brier,DT
0.168,0.095238036,Brier,DT
0.096,0.066108207,Brier,DT
0.095,0.055941566,Brier,DT
0.071,0.06087455,Brier,DT
0.057,0.033198413,Brier,DT
0.069,0.044789528,Brier,DT
0.151,0.065013799,Brier,DT
0.253,0.206421137,Brier,DT
0.21,0.148129089,Brier,DT
0.268,0.270627873,Popt,DT
0.2,0.140587256,Popt,DT
0.189,0.178786935,Popt,DT
0.17,0.205569909,Popt,DT
0.07,0.203049516,Popt,DT
0.059,0.163150999,Popt,DT
0.169,0.131042907,Popt,DT
0.153,0.204212526,Popt,DT
0.079,0.177608128,Popt,DT
0.168,0.16283904,Popt,DT
0.096,0.194211218,Popt,DT
0.095,0.153579556,Popt,DT
0.071,0.149446094,Popt,DT
0.057,0.145788678,Popt,DT
0.069,0.12623246,Popt,DT
0.151,0.136178925,Popt,DT
0.253,0.31442298,Popt,DT
0.21,0.267858447,Popt,DT
0.268,0.470588235,Recall,SVM
0.2,0.258410904,Recall,SVM
0.189,0.266590171,Recall,SVM
0.17,0.337301587,Recall,SVM
0.07,0.215728837,Recall,SVM
0.059,0.345050505,Recall,SVM
0.169,0.158042834,Recall,SVM
0.153,0.171149425,Recall,SVM
0.079,0.318465848,Recall,SVM
0.168,0.200888729,Recall,SVM
0.096,0.171991681,Recall,SVM
0.095,0.161161099,Recall,SVM
0.07,0.315789474,Recall,SVM
0.057,0.194805195,Recall,SVM
0.069,0.275750967,Recall,SVM
0.151,0.257315422,Recall,SVM
0.253,0.45406912,Recall,SVM
0.21,0.429027877,Recall,SVM
0.268,0.24137781,AUC,SVM
0.2,0.134400108,AUC,SVM
0.189,0.158207297,AUC,SVM
0.17,0.181250599,AUC,SVM
0.07,0.460273281,AUC,SVM
0.059,0.161469099,AUC,SVM
0.169,0.083523793,AUC,SVM
0.153,0.070200278,AUC,SVM
0.079,0.183557894,AUC,SVM
0.168,0.083716716,AUC,SVM
0.096,0.119632778,AUC,SVM
0.095,0.134291349,AUC,SVM
0.07,0.2251337,AUC,SVM
0.057,0.178188376,AUC,SVM
0.069,0.151357954,AUC,SVM
