metric,Rank,method
ca,1,original
avg_cc,1,original
lcom,1,original
cam,2,original
amc,3,original
lcom3,3,original
dit,3,original
cbm,3,original
moa,3,original
noc,3,original
ca,1,remove
lcom,1,remove
avg_cc,1,remove
cam,2,remove
amc,2,remove
lcom3,3,remove
cbm,3,remove
dit,3,remove
noc,3,remove
moa,3,remove
ca,1,separating
avg_cc,1,separating
lcom,2,separating
cam,3,separating
amc,4,separating
noc,4,separating
lcom3,4,separating
dit,4,separating
moa,4,separating
cbm,4,separating
