metric,Rank,method
CountLineComment,1,original
MaxInheritanceTree,2,original
CountClassCoupled,3,original
RatioCommentToCode,3,original
CountDeclMethodPrivate,4,original
CountDeclMethodPublic,4,original
MaxNesting_Mean,5,original
AvgLineComment,5,original
CountDeclMethodProtected,6,original
PercentLackOfCohesion,6,original
CountDeclInstanceVariable,6,original
CountInput_Mean,6,original
CountDeclClassVariable,6,original
CountOutput_Min,7,original
CountDeclClassMethod,7,original
CountDeclMethodDefault,7,original
CountClassDerived,8,original
CountInput_Min,8,original
CountDeclClass,8,original
MaxNesting_Min,8,original
CountClassBase,8,original
AvgLineBlank,8,original
AvgEssential,8,original
CountLineComment,1,remove
MaxInheritanceTree,2,remove
RatioCommentToCode,3,remove
CountClassCoupled,3,remove
CountDeclMethodPublic,4,remove
CountDeclMethodPrivate,4,remove
AvgLineComment,5,remove
MaxNesting_Mean,5,remove
CountInput_Mean,6,remove
CountDeclClassVariable,6,remove
CountDeclMethodProtected,6,remove
PercentLackOfCohesion,6,remove
CountDeclInstanceVariable,6,remove
CountClassDerived,6,remove
CountDeclClassMethod,6,remove
CountOutput_Min,6,remove
CountDeclMethodDefault,7,remove
CountDeclClass,7,remove
CountInput_Min,7,remove
MaxNesting_Min,7,remove
AvgEssential,7,remove
CountClassBase,7,remove
AvgLineBlank,7,remove
CountLineComment,1,separating
MaxInheritanceTree,2,separating
RatioCommentToCode,3,separating
CountDeclMethodPrivate,3,separating
CountClassCoupled,3,separating
CountDeclMethodPublic,4,separating
AvgLineComment,5,separating
MaxNesting_Mean,5,separating
CountDeclClassVariable,5,separating
CountInput_Mean,6,separating
CountDeclMethodProtected,6,separating
CountDeclInstanceVariable,6,separating
CountOutput_Min,7,separating
AvgLineBlank,7,separating
CountDeclClassMethod,7,separating
CountClassBase,7,separating
CountDeclClass,7,separating
CountInput_Min,7,separating
AvgEssential,7,separating
MaxNesting_Min,7,separating
CountClassDerived,7,separating
CountDeclMethodDefault,7,separating
PercentLackOfCohesion,7,separating
