metric,Rank,method
change_times,1,original
CBO,2,original
DIT,3,original
IFANIN,3,original
NCV,4,original
NOC,4,original
NIM,5,original
NIV,6,original
AverageComplexity,6,original
NCM,6,original
change_times,1,remove
CBO,2,remove
IFANIN,3,remove
NCV,3,remove
DIT,3,remove
NOC,4,remove
NIM,4,remove
NIV,5,remove
NCM,5,remove
AverageComplexity,5,remove
change_times,1,separating
CBO,2,separating
DIT,3,separating
NCV,3,separating
IFANIN,4,separating
NOC,4,separating
NIM,5,separating
NCM,6,separating
NIV,6,separating
AverageComplexity,7,separating
