metric,Rank,method
amc,1,original
npm,2,original
cam,3,original
lcom3,4,original
avg_cc,5,original
dit,5,original
ca,6,original
noc,7,original
lcom,7,original
moa,7,original
ic,8,original
amc,1,remove
npm,2,remove
cam,2,remove
lcom3,3,remove
avg_cc,4,remove
dit,4,remove
lcom,5,remove
ca,5,remove
noc,6,remove
moa,6,remove
ic,7,remove
amc,1,separating
npm,2,separating
cam,2,separating
lcom3,3,separating
avg_cc,4,separating
dit,4,separating
ca,5,separating
moa,5,separating
lcom,5,separating
noc,5,separating
ic,6,separating
