metric,Rank,method
ca,1,original
lcom,1,original
avg_cc,2,original
amc,3,original
dit,3,original
cbm,3,original
moa,3,original
noc,3,original
lcom3,3,original
cam,3,original
ca,1,remove
lcom,2,remove
avg_cc,2,remove
dit,3,remove
amc,3,remove
cbm,3,remove
cam,4,remove
noc,4,remove
moa,4,remove
lcom3,4,remove
ca,1,separating
lcom,1,separating
avg_cc,2,separating
amc,3,separating
cam,3,separating
moa,3,separating
noc,3,separating
cbm,3,separating
dit,3,separating
lcom3,3,separating
