metric,Rank,method
amc,1,original
npm,2,original
cam,2,original
lcom3,3,original
noc,4,original
avg_cc,4,original
lcom,4,original
ca,5,original
moa,5,original
ic,6,original
dit,6,original
amc,1,remove
npm,2,remove
cam,2,remove
lcom3,3,remove
noc,4,remove
avg_cc,5,remove
lcom,5,remove
ca,5,remove
moa,6,remove
dit,6,remove
ic,7,remove
amc,1,separating
npm,2,separating
cam,2,separating
lcom3,3,separating
avg_cc,4,separating
noc,4,separating
ca,5,separating
lcom,6,separating
moa,6,separating
dit,6,separating
ic,6,separating
