metric,Rank,method
cam,1,original
avg_cc,1,original
dit,2,original
lcom,2,original
lcom3,2,original
cbm,2,original
noc,2,original
amc,2,original
moa,3,original
ca,3,original
cbm,1,remove
cam,1,remove
avg_cc,1,remove
dit,2,remove
lcom,2,remove
amc,2,remove
noc,2,remove
moa,2,remove
ca,3,remove
lcom3,3,remove
cam,1,separating
noc,2,separating
avg_cc,3,separating
lcom3,3,separating
lcom,3,separating
moa,4,separating
cbm,4,separating
dit,4,separating
ca,4,separating
amc,4,separating
