metric,Rank,method
MaxInheritanceTree,1,original
CountLineComment,2,original
CountClassCoupled,2,original
CountDeclMethodPublic,3,original
PercentLackOfCohesion,3,original
AvgLineComment,4,original
MaxNesting_Mean,5,original
CountDeclClass,5,original
CountDeclMethodPrivate,6,original
CountDeclInstanceVariable,6,original
CountClassBase,6,original
CountDeclMethodDefault,7,original
RatioCommentToCode,7,original
MaxNesting_Min,8,original
CountDeclMethodProtected,8,original
CountInput_Mean,8,original
CountOutput_Min,8,original
CountDeclClassVariable,8,original
CountInput_Min,8,original
AvgEssential,8,original
AvgLineBlank,9,original
CountDeclClassMethod,9,original
CountClassDerived,9,original
MaxInheritanceTree,1,remove
CountClassCoupled,2,remove
CountLineComment,2,remove
CountDeclMethodPublic,3,remove
PercentLackOfCohesion,3,remove
CountDeclInstanceVariable,4,remove
AvgLineComment,4,remove
MaxNesting_Mean,5,remove
CountClassBase,5,remove
CountDeclClass,5,remove
CountDeclMethodPrivate,6,remove
CountDeclMethodDefault,6,remove
CountOutput_Min,7,remove
CountDeclClassVariable,7,remove
CountInput_Min,7,remove
RatioCommentToCode,7,remove
CountClassDerived,7,remove
CountInput_Mean,7,remove
MaxNesting_Min,7,remove
CountDeclMethodProtected,7,remove
CountDeclClassMethod,8,remove
AvgEssential,8,remove
AvgLineBlank,8,remove
MaxInheritanceTree,1,separating
CountClassCoupled,2,separating
CountLineComment,2,separating
CountDeclMethodPrivate,3,separating
PercentLackOfCohesion,3,separating
CountDeclMethodPublic,4,separating
CountDeclClass,5,separating
MaxNesting_Mean,5,separating
AvgLineComment,5,separating
CountClassBase,6,separating
CountDeclInstanceVariable,6,separating
RatioCommentToCode,6,separating
CountInput_Min,7,separating
CountDeclMethodDefault,7,separating
CountInput_Mean,7,separating
MaxNesting_Min,7,separating
CountOutput_Min,7,separating
AvgEssential,8,separating
CountDeclClassMethod,8,separating
CountDeclClassVariable,8,separating
CountDeclMethodProtected,9,separating
AvgLineBlank,9,separating
CountClassDerived,9,separating
