metric,Rank,method
change_times,1,original
IFANIN,2,original
CBO,2,original
DIT,3,original
NCV,3,original
NIM,4,original
AverageComplexity,4,original
NIV,4,original
NOC,4,original
NCM,5,original
change_times,1,remove
IFANIN,1,remove
DIT,2,remove
CBO,2,remove
NCV,3,remove
NIM,3,remove
AverageComplexity,4,remove
NOC,4,remove
NIV,5,remove
NCM,5,remove
change_times,1,separating
IFANIN,2,separating
NCV,2,separating
CBO,3,separating
DIT,4,separating
NOC,5,separating
NIM,5,separating
AverageComplexity,6,separating
NCM,6,separating
NIV,6,separating
