metric,Rank,method
change_times,1,original
CBO,2,original
NCV,3,original
NOC,4,original
IFANIN,4,original
NCM,5,original
NIV,6,original
DIT,6,original
NIM,7,original
AverageComplexity,7,original
change_times,1,remove
NCV,2,remove
CBO,3,remove
IFANIN,4,remove
NOC,4,remove
NIM,4,remove
NIV,5,remove
NCM,6,remove
DIT,7,remove
AverageComplexity,8,remove
NIM,1,separating
CBO,2,separating
NCM,3,separating
NIV,4,separating
change_times,4,separating
IFANIN,4,separating
DIT,4,separating
NCV,5,separating
AverageComplexity,5,separating
NOC,6,separating
