metric,Rank,method
cbo,1,original
ca,2,original
amc,3,original
lcom,3,original
cam,3,original
noc,4,original
lcom3,5,original
avg.cc.,5,original
dam,5,original
mfa,6,original
cbm,6,original
npm,6,original
moa,7,original
cbo,1,remove
ca,2,remove
amc,3,remove
noc,4,remove
avg.cc.,4,remove
lcom,4,remove
npm,5,remove
lcom3,6,remove
cam,6,remove
mfa,6,remove
cbm,6,remove
dam,7,remove
moa,8,remove
cbo,1,separating
npm,2,separating
ca,2,separating
lcom,3,separating
amc,3,separating
cbm,4,separating
avg.cc.,5,separating
noc,5,separating
lcom3,6,separating
dam,6,separating
moa,6,separating
mfa,7,separating
cam,7,separating
