metric,Rank,method
npm,1,original
dit,2,original
avg_cc,2,original
lcom,3,original
dam,3,original
noc,3,original
moa,4,original
ca,4,original
ic,4,original
amc,4,original
lcom3,5,original
avg_cc,1,remove
npm,2,remove
dam,3,remove
noc,4,remove
lcom,4,remove
dit,4,remove
moa,5,remove
ic,5,remove
lcom3,6,remove
amc,6,remove
ca,6,remove
avg_cc,1,separating
lcom3,2,separating
moa,3,separating
dit,3,separating
ca,4,separating
npm,4,separating
ic,5,separating
lcom,5,separating
amc,5,separating
noc,6,separating
dam,6,separating
