metric,Rank,method
avg.cc.,1,original
lcom3,2,original
amc,2,original
ndc,3,original
ce,4,original
ic,4,original
ndpv,5,original
cam,6,original
ca,7,original
noc,7,original
mfa,8,original
moa,8,original
dam,9,original
npm,9,original
lcom,10,original
avg.cc.,1,remove
lcom3,2,remove
amc,2,remove
ndc,3,remove
ce,4,remove
ic,4,remove
ndpv,5,remove
cam,6,remove
ca,7,remove
noc,7,remove
mfa,8,remove
moa,8,remove
dam,9,remove
npm,9,remove
lcom,10,remove
avg.cc.,1,separating
lcom3,2,separating
amc,2,separating
ndc,3,separating
ce,4,separating
ic,4,separating
ndpv,5,separating
cam,6,separating
ca,7,separating
noc,7,separating
mfa,8,separating
moa,8,separating
dam,9,separating
npm,9,separating
lcom,10,separating
