metric,Rank,method
MaxInheritanceTree,1,original
CountLineComment,1,original
CountDeclMethodPrivate,2,original
AvgLineComment,2,original
CountDeclMethodProtected,3,original
CountOutput_Min,3,original
CountDeclClassMethod,3,original
MaxNesting_Mean,3,original
RatioCommentToCode,3,original
MaxNesting_Min,4,original
AvgLineBlank,4,original
CountInput_Mean,4,original
CountDeclMethodDefault,4,original
CountDeclMethodPublic,4,original
CountInput_Min,4,original
AvgEssential,4,original
CountDeclInstanceVariable,4,original
CountDeclClass,4,original
CountClassCoupled,5,original
CountDeclClassVariable,5,original
CountClassDerived,5,original
PercentLackOfCohesion,6,original
CountClassBase,6,original
MaxInheritanceTree,1,remove
CountLineComment,1,remove
CountDeclMethodPrivate,2,remove
AvgLineComment,2,remove
CountDeclClassMethod,3,remove
MaxNesting_Mean,3,remove
CountOutput_Min,3,remove
CountDeclMethodProtected,3,remove
RatioCommentToCode,3,remove
AvgLineBlank,4,remove
CountInput_Mean,4,remove
MaxNesting_Min,4,remove
AvgEssential,4,remove
CountDeclClass,4,remove
CountDeclMethodPublic,4,remove
CountDeclClassVariable,4,remove
CountDeclInstanceVariable,4,remove
CountDeclMethodDefault,4,remove
CountInput_Min,4,remove
CountClassCoupled,4,remove
CountClassDerived,4,remove
CountClassBase,5,remove
PercentLackOfCohesion,5,remove
CountLineComment,1,separating
MaxInheritanceTree,2,separating
CountDeclMethodPrivate,3,separating
AvgLineComment,3,separating
CountOutput_Min,4,separating
CountDeclClassMethod,4,separating
MaxNesting_Mean,4,separating
RatioCommentToCode,4,separating
CountDeclMethodPublic,5,separating
CountDeclMethodProtected,5,separating
CountDeclMethodDefault,5,separating
MaxNesting_Min,5,separating
CountInput_Min,5,separating
AvgEssential,5,separating
CountDeclClass,5,separating
AvgLineBlank,5,separating
CountDeclClassVariable,5,separating
CountClassDerived,5,separating
CountClassCoupled,6,separating
CountDeclInstanceVariable,6,separating
CountInput_Mean,6,separating
CountClassBase,6,separating
PercentLackOfCohesion,6,separating
