metric,Rank,method
amc,1,original
cam,2,original
npm,3,original
ca,4,original
noc,4,original
lcom3,4,original
lcom,4,original
avg_cc,4,original
ic,5,original
moa,5,original
dit,5,original
amc,1,remove
cam,2,remove
npm,3,remove
noc,4,remove
ca,4,remove
lcom3,5,remove
lcom,5,remove
moa,5,remove
ic,6,remove
avg_cc,6,remove
dit,6,remove
amc,1,separating
cam,2,separating
npm,3,separating
noc,4,separating
lcom3,5,separating
ca,5,separating
moa,5,separating
lcom,5,separating
avg_cc,6,separating
ic,6,separating
dit,7,separating
