metric,Rank,method
CountLineComment,1,original
MaxInheritanceTree,1,original
CountClassCoupled,2,original
AvgLineComment,3,original
CountDeclMethodPrivate,3,original
MaxNesting_Mean,4,original
CountDeclMethodPublic,5,original
MaxNesting_Min,5,original
RatioCommentToCode,6,original
CountOutput_Min,6,original
CountDeclInstanceVariable,7,original
PercentLackOfCohesion,7,original
CountDeclMethodDefault,7,original
CountClassDerived,7,original
CountDeclClassMethod,7,original
CountDeclClassVariable,7,original
AvgLineBlank,7,original
CountInput_Min,7,original
AvgEssential,8,original
CountInput_Mean,8,original
CountDeclClass,8,original
CountClassBase,9,original
CountDeclMethodProtected,9,original
MaxInheritanceTree,1,remove
CountLineComment,2,remove
CountClassCoupled,2,remove
MaxNesting_Mean,3,remove
CountDeclMethodPrivate,3,remove
AvgLineComment,3,remove
CountOutput_Min,4,remove
MaxNesting_Min,4,remove
RatioCommentToCode,5,remove
CountDeclClassMethod,5,remove
CountDeclInstanceVariable,5,remove
CountDeclMethodPublic,5,remove
CountDeclMethodDefault,6,remove
CountInput_Mean,6,remove
CountClassDerived,6,remove
CountDeclClassVariable,6,remove
AvgEssential,6,remove
CountInput_Min,7,remove
PercentLackOfCohesion,7,remove
CountClassBase,7,remove
CountDeclClass,7,remove
AvgLineBlank,7,remove
CountDeclMethodProtected,7,remove
CountLineComment,1,separating
MaxInheritanceTree,1,separating
CountClassCoupled,2,separating
CountDeclMethodPrivate,2,separating
AvgLineComment,2,separating
MaxNesting_Mean,3,separating
MaxNesting_Min,3,separating
RatioCommentToCode,4,separating
AvgLineBlank,4,separating
CountOutput_Min,5,separating
CountDeclMethodPublic,5,separating
CountInput_Mean,5,separating
CountInput_Min,5,separating
AvgEssential,5,separating
PercentLackOfCohesion,6,separating
CountDeclMethodDefault,6,separating
CountDeclMethodProtected,6,separating
CountDeclInstanceVariable,6,separating
CountClassDerived,6,separating
CountDeclClassVariable,6,separating
CountDeclClassMethod,6,separating
CountClassBase,6,separating
CountDeclClass,6,separating
