metric,Rank,method
ce,1,original
amc,2,original
lcom3,2,original
avg.cc.,3,original
ic,4,original
mfa,4,original
cam,5,original
ndc,6,original
dam,7,original
ndpv,8,original
ca,9,original
npm,9,original
noc,10,original
lcom,10,original
moa,11,original
amc,1,remove
ce,2,remove
lcom3,3,remove
avg.cc.,4,remove
mfa,5,remove
ic,6,remove
cam,6,remove
ndc,7,remove
dam,8,remove
ndpv,9,remove
ca,10,remove
npm,10,remove
noc,11,remove
lcom,11,remove
moa,12,remove
ce,1,separating
lcom3,2,separating
amc,3,separating
avg.cc.,3,separating
ic,4,separating
mfa,4,separating
cam,5,separating
dam,5,separating
ndc,6,separating
npm,7,separating
lcom,8,separating
ndpv,8,separating
ca,8,separating
noc,9,separating
moa,10,separating
